Borrower Name,FICO Score,Loan-to-Value (LTV) Ratio,Predicted Default Probability
Borrower 1,723,0.55,0.67
Borrower 2,310,0.96,0.19
Borrower 3,339,0.59,0.48
Borrower 4,316,0.82,0.81
Borrower 5,470,0.65,0.58
Borrower 6,531,0.86,0.37
Borrower 7,563,0.64,0.04
Borrower 8,831,0.66,0.57
Borrower 9,599,0.51,0.37
Borrower 10,600,0.73,0.71
Borrower 11,672,0.52,0.89
Borrower 12,583,0.57,0.58
Borrower 13,615,0.83,0.11
Borrower 14,352,0.89,0.19
Borrower 15,740,0.79,0.19
Borrower 16,814,0.81,0.22
Borrower 17,429,0.65,0.64
Borrower 18,709,0.72,0.77
Borrower 19,761,0.87,0.48
Borrower 20,367,0.54,0.58
Borrower 21,720,0.94,0.17
Borrower 22,537,0.75,0.82
Borrower 23,797,0.91,0.56
Borrower 24,447,0.57,0.79
Borrower 25,840,0.75,0.21
Borrower 26,520,0.68,0.09
Borrower 27,377,0.54,0.9
Borrower 28,817,0.78,0.37
Borrower 29,618,0.62,0.65
Borrower 30,654,0.75,0.37
Borrower 31,650,0.64,0.31
Borrower 32,398,0.73,0.64
Borrower 33,724,0.76,0.93
Borrower 34,463,0.83,0.0
Borrower 35,663,0.59,0.45
Borrower 36,466,0.92,0.98
Borrower 37,514,0.83,0.44
Borrower 38,769,0.79,0.87
Borrower 39,607,0.79,0.63
Borrower 40,383,0.7,0.73
Borrower 41,575,0.81,0.11
Borrower 42,847,0.62,0.83
Borrower 43,792,0.69,0.78
Borrower 44,398,0.75,0.93
Borrower 45,533,0.63,0.75
Borrower 46,657,0.74,0.78
Borrower 47,722,0.54,0.7
Borrower 48,333,0.56,0.45
Borrower 49,436,0.51,0.51
Borrower 50,787,0.93,0.87
Borrower 51,498,0.66,0.52
Borrower 52,408,0.66,0.21
Borrower 53,698,0.9,0.89
Borrower 54,574,0.64,0.65
Borrower 55,827,0.67,0.57
Borrower 56,408,0.81,0.67
Borrower 57,842,0.8,0.36
Borrower 58,597,0.58,0.8
Borrower 59,781,0.94,0.72
Borrower 60,846,0.87,0.06
Borrower 61,488,0.71,0.77
Borrower 62,484,0.68,0.58
Borrower 63,514,0.85,0.65
Borrower 64,812,0.83,0.23
Borrower 65,679,0.76,0.52
Borrower 66,737,0.72,0.18
Borrower 67,775,0.63,0.63
Borrower 68,666,0.9,0.31
Borrower 69,687,0.61,0.6
Borrower 70,543,0.65,0.78
Borrower 71,647,0.66,0.97
Borrower 72,465,0.75,0.02
Borrower 73,598,0.67,0.42
Borrower 74,429,0.61,0.03
Borrower 75,625,0.83,0.48
Borrower 76,835,0.89,0.17
Borrower 77,602,0.88,0.78
Borrower 78,627,0.85,0.06
Borrower 79,477,0.67,0.74
Borrower 80,819,0.85,0.66
Borrower 81,754,0.61,0.97
Borrower 82,404,0.69,0.3
Borrower 83,375,0.75,0.46
Borrower 84,372,0.6,0.84
Borrower 85,728,0.87,0.86
Borrower 86,757,0.84,0.22
Borrower 87,418,0.57,0.41
Borrower 88,508,0.96,0.64
Borrower 89,670,0.65,0.03
Borrower 90,540,0.58,0.76
Borrower 91,766,0.62,0.74
Borrower 92,645,0.96,0.53
Borrower 93,364,0.91,0.74
Borrower 94,428,0.84,0.54
Borrower 95,801,0.69,0.78
Borrower 96,783,0.64,0.96
Borrower 97,631,0.8,0.48
Borrower 98,705,0.78,0.18
Borrower 99,550,0.51,0.05
Borrower 100,847,0.83,0.74
